; EV[European Go Congress 1987 - Main tournament]
; PC[FR, Grenoble]
; DT[1987-07-25,1987-08-08]
;Pl Name                   Gr Cy  MM   1    2    3    4    5    6    7    8   9  W
  49 Olsson Ulf                     3d SE  xxx     23     5      0-     27-     78-      0+     87+     71-     97+     89+     52+
  50 Warnaar Walther                3d NL  xxx     23     5      0=      0=      0=     22+      9+      0=      0=      0=      0=
  51 Zandveld Peter                 4d NL  xxx     22     3     35+     20+      8-      7-     40-     80+     17-     36-     28-
  52 VanDerSteen Jan                3d NL  xxx     22     4     59+     23-     72+     25+     30+     11-     43-     20-     49-
  53 Granville R.J.                 3d UK  xxx     22     4     68+     34+     15-     16-     46+      9-     45-     62+     44-
  54 Varga Barnabas                 3d HU  xxx     22     4     41+     42+     14-     11-     66+     23-     60-     87+     46-
  55 Shepperson P.A.                4d UK  xxx     22     3     25+      6-      4-     80-     57-     45-     84+     81+     39-
  56 Lee Harold                     3d UK  xxx     22     4     58+     11-     81-     48+     25-     63+     93+     27-     47-
  57 Hohenschurz Ralf               3d DE  xxx     22     4     64+     31-     60-      0+     55+     22-     27-     65+     45-
  58 Smith J.H.                     3d UK  xxx     22     4     56-     62+     32-     84+     27-     47+     42-     46-     93+
  59 Polak Ron                      3d NL  xxx     22     4     52-     46+     42-     66-     28-     85+     73+     47-     87+
  60 Verhagen Rudi                  2d NL  xxx     22     5     73+      0+     57+     42+     34-     43-     54+     32-     40-
  61 Clare Jim                      2d UK  xxx     22     5     65+      0+     74+     32-     42+     33-     37-      0+     38-
  62 Dockes Emmanuel                2d FR  xxx     22     5     97+     58-     43+     64+     39-     42-     92+     53-     83+
  63 Gebhardt Joachim               2d DE  xxx     22     5     43-     71+     69+     38-     90+     56-      0+     79+     41-
  64 Hall T_Mark                    3d UK  xxx     22     4     57-     89+     33-     62-     73+     48-     82+     93+     42-
  65 Cornuejols Dominique           2d FR  xxx     22     5     61-     85+      0+     72+     37-     44+     39-     57-     92+
  66 Rix Alex                       2d UK  xxx     22     5     45-      0+     86+     59+     54-     26-     88+     44-     94+
  67 Korelc Jani                    2d YU  xxx     22     5     84+     41-     90+     78-     71-     91+     44-    100+     98+
  68 Siivola Matti                  3d FI  xxx     22     4     53-     81-      0-     95+     96+     82+     79+     24-     33-
  69 Roche Antoine                  3d FR  xxx     22     4     39-     82-     63-      0+     83+     28-     89-     71+     85+
  70 Nechanicky Radek               4d CS  xxx     22     3     12-     18-     80-     89+     81+     34-     41-      0=      0=
  71 Mioch Pieter                   1d NL  xxx     22     6      0+     63-      0+      0+     67+     49+     38-     69-     81+
  72 Perlo-Freeman Sam              2d UK  xxx     22     5     48+     86+     52-     65-      0-      0-      0+      0+     79+
  73 Lavallou Simon-L               2d FR  xxx     22     5     60-     83-      0+      0+     64-      0+     59-      0+     80+
  74 Seailles J.F.                  4d FR  xxx     22     3     38-     15-     61-      0=      0=     75+      0=      0=      0=
  75 Baumann Hans-Peter             4d CH  xxx     22     3      0=      0=      0=      0=      0=     74-     26-     28-      0=
  76 VanDerLoeff Arnoud             1k NL  xxx     22     7      0-      0+      0+      0+      0+     83-     96+     90+     82+
  77 Karkman Christoph              2d DE  xxx     22     5     81-     99+      0+     26+     38-      0=      0=      0=      0=
  78 Lugol Xavier                   1d FR  xxx     22     6      0+     97+     49+     67+      0=      0=      0=      0=      0=
  79 Aroutcheff Pierre              3d FR  xxx     21     3     80+     25+     21-     19-     45+     30-     68-     63-     72-
  80 Sandbeck Dix                   3d DK  xxx     21     3     79-     45+     70+     55+     35-     51-     28-     48-     73-
  81 Feldmann Denis                 2d FR  xxx     21     4     77+     68+     56+     24-     70-     27-     83+     55-     71-
  82 Ruten-Budde Jan                2d DE  xxx     21     4      0+     69+     36-     41-     92+     68-     64-      0+     76-
  83 Schmid Gcrhard                 1d DE  xxx     21     5      0+     73+     45-      0+     69-     76+     81-      0+     62-
  84 Wiersrma Ruurd                 2d NL  xxx     21     4     67-     88+      0+     58-     26-     92-     55-     86+      0+
  85 Tiefenthalar R.                1d DE  xxx     21     5     92+     65-      0+     43-     94+     59-      0+      0+     69-
  86 Nonoyama Akihiko               3d JP  xxx     21     3     37-     72-     66-      0+     44-     95+     87-     84-      0+
  87 Hilbert David                  2d AT  xxx     21     4     88-      0-    100+      0+     49-      0+     86+     54-     59-
  88 Nomura Yos                     5d JP  xxx     21     4     87+     84-     46-      0-      0+     96+     66-      0+     48-
  89 Spruit Nico                    2d NL  xxx     21     4      0+     64-      0+     70-      0-     90+     69+     49-      0=
  90 Dawson John                    1d UK  xxx     21     5     95+      0+     67-      0+     63-     89-      0+     76-      0+
  91 Dinh Than-Tuan                 1d FR  xxx     21     5      0+     48-      0+      0-      0+     67-      0+     94-      0+
  92 Lounela Olli                   1d FI  xxx     21     5     85-      0+     99+      0+     82-     84+     62-      0+     65-
  93 BenMalek Farid                 2d FR  xxx     21     4     46-      0-      0+      0+      0+      0+     56-     64-     58-
  94 Rosendal Auke                  1k NL  xxx     21     6      0+      0-      0+      0+     85-      0+     95+     91+     66-
  95 Biane Philippe                 1d FR  xxx     21     5     90-      0+      0+     68-      0+     86-     94-      0+      0+
  96 Mostaje Xavier                 1d FR  xxx     21     5     99-      0+      0+      0+     68-     88-     76-      0+      0+
  97 Riedeman Dick                  2d NL  xxx     21     4     62-     78-      0-      0+      0+      0+     49-      0+      0=
  98 Ewen Rainer                    2k DE  xxx     21     7      0+      0+      0+    100+      0+      0+     47-      0+     67-
  99 Kopyt Marek                    1d PL  xxx     21     5     96+     77-     92-      0-      0+      0+      0-      0+      0+
 100 Boogerd Paul                   1d NL  xxx     21     5      0-      0+     87-     98-      0+      0+      0+     67-      0+
